# FORMAT: ID|N|E|S|O|Centre|Blasons
# Types: 0=PLAINE, 1=ROUTE, 2=VILLE, 3=ABBAYE
# ------------------------------------------
1|2|2|2|2|2|1
2|2|2|0|2|2|0
3|2|2|0|2|2|0
4|2|2|0|2|2|0
5|2|2|0|2|2|1
6|2|2|1|2|2|1
7|2|2|1|2|2|0
8|2|2|1|2|2|0
9|2|2|0|0|2|0
10|2|2|0|0|2|0
11|2|2|0|0|2|0
12|2|2|0|0|2|1
13|2|2|0|0|2|1
14|0|2|0|2|2|0
15|0|2|0|2|2|0
16|0|2|0|2|2|0
17|2|0|2|0|2|1
18|2|0|2|0|2|1
19|0|0|0|2|2|0
20|0|0|0|2|2|0
21|0|0|0|2|2|0
22|0|0|0|2|2|0
23|0|0|0|2|2|0
24|2|1|1|0|1|0
25|2|1|1|0|1|0
26|2|1|1|0|1|0
27|2|0|1|1|1|0
28|2|0|1|1|1|0
29|2|0|1|1|1|0
30|2|1|0|1|1|0
31|2|1|0|1|1|0
32|2|1|0|1|1|0
33|2|1|1|1|1|0
34|2|1|1|1|1|0
35|2|1|1|1|1|0
36|2|2|1|1|2|1
37|2|2|1|1|2|1
38|2|2|1|1|2|0
39|2|2|1|1|2|0
40|2|2|1|1|2|0
41|0|1|0|1|1|0
42|0|1|0|1|1|0
43|0|1|0|1|1|0
44|0|1|0|1|1|0
45|0|1|0|1|1|0
46|0|1|0|1|1|0
47|0|1|0|1|1|0
48|0|1|0|1|1|0
49|0|0|1|1|1|0
50|0|0|1|1|1|0
51|0|0|1|1|1|0
52|0|0|1|1|1|0
53|0|0|1|1|1|0
54|0|0|1|1|1|0
55|0|0|1|1|1|0
56|0|0|1|1|1|0
57|0|0|1|1|1|0
58|0|1|1|1|1|0
59|0|1|1|1|1|0
60|0|1|1|1|1|0
61|0|1|1|1|1|0
62|1|1|1|1|1|0
63|0|0|0|0|3|0
64|0|0|0|0|3|0
65|0|0|0|0|3|0
66|0|0|0|0|3|0
67|0|0|1|0|3|0
68|0|0|1|0|3|0
69|2|0|2|0|2|0
70|2|0|2|0|2|0
71|2|0|2|0|2|0
72|1|2|1|0|1|0
